Branch,Semester,Course Code,Course Title,L-T-P-S-C
DSAI,2,MA163,Linear Algebra,3-1-0-0-2
DSAI,2,CS162,Optimization,3-1-0-0-2
DSAI,2,CS164,Computer Architecture,3-0-2-0-2
DSAI,2,HS161,English Language and Communication,3-0-0-0-3
DSAI,2,CS163,Data Structures and Algorithms,3-0-2-0-4
DSAI,2,DS164,Data Curation Techniques,2-0-2-0-3
DSAI,2,New,Data Science with Python,2-0-0-0-2
DSAI,2,New,Introduction to Digital VLSI Design,2-0-0-0-2
DSAI,2,New,Industry Insights Program Part 1,1-0-0-0-1
DSAI,2,New,Principles of Quantum Physics,2-0-0-0-2
DSAI,2,New,Linux for Engineers,2-0-0-0-2
DSAI,2,New,Photography101,1-0-0-0-1
DSAI,2,New,Introduction to Holistic Personality Development,1-0-0-0-1
DSAI,2,New,Visual Design – Principles and Application in Product Communication,2-0-0-0-2
DSAI,2,ASD151,Introduction to Design,1-0-0-0-1
DSAI,2,HS151,Introduction to Personal Finance,2-0-0-0-2
DSAI,2,New,Introduction to Internet of Things,2-0-0-0-2
DSAI,2,New,Computer Intensive Statistical Methods,2-0-0-0-2
DSAI,2,New,Concurrency and Computation,2-0-0-0-2

DSAI,4,HS206,Industrial Social Psychology,3-0-0-0-3
DSAI,4,CS204,Operating Systems,3-1-0-0-4
DSAI,4,DS204,Software Engineering and Services,3-0-2-0-4
DSAI,4,CS310,Database Management System,3-1-2-0-5
DSAI,4,DS205,Global Business Perspectives,3-0-0-0-3
DSAI,4,New,Large Language Models,3-0-0-4-4

DSAI,6,DS309,Cloud Computing,3-0-0-4-4
DSAI,6,DS306,Financial Data Analytics,3-0-0-4-4
DSAI,6,DS307,Innovation and Entrepreneurship,3-1-0-0-4
DSAI,6,DS308,Data Security and Privacy,3-1-0-0-4
DSAI,6,DS399,Mini Project-I,0-0-0-8-2
DSAI,6,CS464,Deep Learning for Computer Vision,3-1-0-0-4
DSAI,6,New,Large Language Models,3-0-0-4-4
DSAI,6,CS458,Natural Language Processing,3-1-0-0-4
DSAI,6,New,Deep Speech Processing,3-1-0-0-4
DSAI,6,CS455,Blockchain Technology,3-0-0-4-4
DSAI,6,EC361,Introduction to 5G Network,3-1-0-0-4
DSAI,6,New,Model Checking,3-0-0-4-4
DSAI,6,New,Quantum Communication,3-0-0-0-3
DSAI,6,New,Quantum HPC and AI,1-0-0-0-1
DSAI,6,New,Design Thinking and Innovation,3-1-0-0-4

DSAI,8,DS499,Major Project III,0-0-0-32-8

ECE,2,MA163,Linear Algebra,3-1-0-0-2
ECE,2,CS162,Optimization,3-1-0-0-2
ECE,2,CS164,Computer Architecture,3-0-2-0-2
ECE,2,HS161,English Language and Communication,3-0-0-0-3
ECE,2,CS163,Data Structures and Algorithms,3-0-2-0-4
ECE,2,EC201,Network Analysis,2-1-0-0-3
ECE,2,New,Data Science with Python,2-0-0-0-2
ECE,2,New,Introduction to Digital VLSI Design,2-0-0-0-2
ECE,2,New,Industry Insights Program Part 1,1-0-0-0-1
ECE,2,New,Principles of Quantum Physics,2-0-0-0-2
ECE,2,New,Linux for Engineers,2-0-0-0-2
ECE,2,New,Photography101,1-0-0-0-1
ECE,2,New,Introduction to Holistic Personality Development,1-0-0-0-1
ECE,2,New,Visual Design – Principles and Application in Product Communication,2-0-0-0-2
ECE,2,ASD151,Introduction to Design,1-0-0-0-1
ECE,2,HS151,Introduction to Personal Finance,2-0-0-0-2
ECE,2,New,Introduction to Internet of Things,2-0-0-0-2
ECE,2,New,Computer Intensive Statistical Methods,2-0-0-0-2
ECE,2,New,Concurrency and Computation,2-0-0-0-2

ECE,4,MA208,Probability and Random Processes,3-1-0-0-4
ECE,4,EC205,Control Systems,3-0-2-0-4
ECE,4,EC310,Embedded Systems Design,3-1-0-0-4
ECE,4,EC204,Analog and Digital Communication,3-1-2-0-5
ECE,4,HS204,Economics,3-1-0-0-4
ECE,4,HS205,Ethics,3-0-0-0-3
ECE,4,New,Large Language Models,3-0-0-4-4

ECE,6,EC307,Wireless Communication,3-0-0-4-4
ECE,6,EC399,Mini Project-II,0-0-0-8-2
ECE,6,CS464,Deep Learning for Computer Vision,3-1-0-0-4
ECE,6,New,Large Language Models,3-0-0-4-4
ECE,6,CS458,Natural Language Processing,3-1-0-0-4
ECE,6,New,CMOS RF Circuit Design,3-1-0-0-4
ECE,6,New,Deep Speech Processing,3-1-0-0-4
ECE,6,CS455,Blockchain Technology,3-0-0-4-4
ECE,6,EC361,Introduction to 5G Network,3-1-0-0-4
ECE,6,New,Model Checking,3-0-0-4-4
ECE,6,New,Quantum Communication,3-0-0-0-3
ECE,6,New,Quantum HPC and AI,1-0-0-0-1
ECE,6,New,Design Thinking and Innovation,3-1-0-0-4
ECE,6,CS462,Computer Graphics,3-1-0-0-4
ECE,6,CS307,Machine Learning,3-1-0-0-4
ECE,6,CS469,Virtualization and Cloud Computing,3-0-0-4-4
ECE,6,New,Data Analytics and Visualization,3-1-0-0-4
ECE,6,DS351,Statistics for Health Technology,3-1-0-0-4
ECE,6,New,Medical Image Analysis,3-0-0-4-4
ECE,6,CS472,Bioinformatics,3-0-0-4-4

ECE,8,EC499,Major Project,0-0-0-32-8

CSE,2,CS163,Data Structures and Algorithms,3-0-2-0-4
CSE,2,HS204,Economics,2-1-0-0-3
CSE,2,CS165,Mathematical foundations of Computing,3-0-0-0-3
CSE,2,New,Data Science with Python,3-1-0-0-2
CSE,2,New,Introduction to Digital VLSI Design,3-1-0-0-2
CSE,2,New,Industry Insights Program Part 1,3-0-0-0-1
CSE,2,New,Linux for Engineers,3-1-0-0-2
CSE,2,New,Introduction to Holistic Personality Development,3-0-0-0-1
CSE,2,New,Photography101,3-0-0-0-1
CSE,2,New,Visual Design-PAPC,3-1-0-0-2

CSE,4,CS206,Theory of Computation,3-1-0-0-4
CSE,4,MA202,Linear Algebra,3-1-0-0-4
CSE,4,CS301,Software Engineering,3-1-0-0-4
CSE,4,CS204,Operating System,3-0-2-0-4
CSE,4,CS310,Database Management Systems,3-1-2-0-5
CSE,4,HS205,Ethics,3-0-0-0-3

CSE,6,CS307,Machine Learning,3-0-2-0-4
CSE,6,CS399,Mini-Project II,0-0-0-8-2
CSE,6,CS471,Deep Computer Vision,3-1-0-0-4
CSE,6,New,Large Language Models,3-1-0-0-4
CSE,6,New,Natural Language Processing,3-1-0-0-4
CSE,6,New,CMOS RF Circuit Design,3-1-0-0-4
CSE,6,New,Deep Speech Processing,3-0-0-4-4
CSE,6,New,Blockchain Technology,3-1-0-0-4
CSE,6,New,Introduction to 5G Network,3-1-0-0-4
CSE,6,New,Model Checking,3-0-0-4-4
CSE,6,New,Quantum Communication,3-0-0-0-3
CSE,6,New,Quantum HPC and AI,1-0-0-0-1
CSE,6,New,Design Thinking and Innovation,3-1-0-0-4
CSE,6,New,Automotive Embedded and Multimedia Systems,3-0-0-4-4
CSE,6,New,Microwave Engineering,3-1-0-0-4
CSE,6,CS462,Computer Graphics,3-1-0-0-4
CSE,6,New,Machine Learning,3-1-0-0-4
CSE,6,CS469,Virtualization and Cloud Computing,3-0-0-4-4
CSE,6,New,Data Analytics and Visualization,3-1-0-0-4
CSE,6,New,Statistics for Health Technology,3-1-0-0-4
CSE,6,New,Medical Image Analysis,3-0-0-4-4
CSE,6,CS472,Bioinformatics,3-0-0-4-4 

CSE,8,CS499,Major Project,0-0-0-32-8
